"date","state","si"
2020-02-28,Курганская область,0.8500000000000001
2020-02-28,Смоленская область,1.0666666666666667
2020-02-28,Орловская область,0.8
2020-02-28,Краснодарский край,0.9999999999999999
2020-02-28,Омская область,0.9
2020-02-28,Тверская область,1.1
2020-02-28,Архангельская область,1.3666666666666665
2020-02-28,Алтайский край,1.35
2020-02-28,Томская область,1.2
2020-02-28,Оренбургская область,1.125
2020-02-28,Хабаровский край,1
2020-02-28,Сахалинская область,0.3
2020-02-28,Липецкая область,1.15
2020-02-28,Республика Коми,1.3
2020-02-28,Чувашская Республика,1
2020-02-28,Тамбовская область,1.15
2020-02-28,Камчатский край,0.9
2020-02-28,Саратовская область,1.1800000000000002
2020-02-28,Новгородская область,1
2020-02-28,Ростовская область,1.2545454545454546
2020-02-28,Тульская область,1.2833333333333332
2020-02-28,Еврейская автономная область,0.8
2020-02-28,Мурманская область,1.6000000000000003
2020-02-28,Карачаево-Черкесская Республика,0.7
2020-02-28,Астраханская область,0.7
2020-02-28,Пензенская область,1
2020-02-28,Кировская область,1.05
2020-02-28,Новосибирская область,1.0666666666666667
2020-02-28,Республика Татарстан,1.1333333333333333
2020-02-28,Калининградская область,0.7
2020-02-28,Санкт-Петербург и Ленинградская область,1.1307692307692307
2020-02-28,Республика Алтай,0.4
2020-02-28,Брянская область,1.05
2020-02-28,Забайкальский край,1.4500000000000002
2020-02-28,Магаданская область,0.6
2020-02-28,Республика Хакасия,1.05
2020-02-28,Пермский край,1.2285714285714289
2020-02-28,Волгоградская область,1
2020-02-28,Республика Марий Эл,0.95
2020-02-28,Самарская область,1.2
2020-02-28,Свердловская область,1.1916666666666669
2020-02-28,Тюменская область,0.8666666666666667
2020-02-28,Республика Карелия,1.1
2020-02-28,Челябинская область,1.2750000000000001
2020-02-28,Рязанская область,0.7
2020-02-28,Ульяновская область,1
2020-02-29,Псковская область,2.45
2020-02-29,Ставропольский край,1.911111111111111
2020-02-29,Курская область,2.4000000000000004
2020-02-29,Владимирская область,2.3400000000000003
2020-02-29,Республика Крым,2.533333333333333
2020-02-29,Республика Мордовия,2.2
2020-02-29,Республика Дагестан,1.816666666666667
2020-02-29,Белгородская область,2.2666666666666666
2020-02-29,Вологодская область,2.5
2020-02-29,Республика Адыгея,1.9
2020-02-29,Ивановская область,2.3000000000000003
2020-02-29,Еврейская автономная область,2.3
2020-02-29,Нижегородская область,2.2750000000000004
2020-02-29,Калининградская область,2
2020-02-29,Приморский край,2.3400000000000003
2020-02-29,Калужская область,2.05
2020-02-29,Красноярский край,2.5625
2020-02-29,Ханты-Мансийский автономный округ - Югра,2.316666666666667
2020-02-29,Амурская область,2.033333333333333
2020-02-29,Удмуртская Республика,2.4
2020-02-29,Республика Тыва,1.2
2020-02-29,Республика Ингушетия,1
2020-02-29,Воронежская область,2.3
2020-02-29,Чеченская Республика,1.7750000000000001
2020-02-29,Республика Калмыкия,1.9
2020-02-29,Костромская область,2.4
2020-02-29,Иркутская область,2.466666666666667
2020-02-29,Республика Бурятия,2.1
2020-02-29,Ярославская область,2.45
2020-02-29,Республика Коми,2.6333333333333333
2020-02-29,Томская область,2.6500000000000004
2020-02-29,Липецкая область,2.3499999999999996
2020-02-29,Хабаровский край,2.25
2020-02-29,Кабардино-Балкарская Республика,2
2020-02-29,Омская область,2.2
2020-02-29,Алтайский край,2.5
2020-02-29,Оренбургская область,2.375
2020-02-29,Орловская область,2.1
2020-02-29,Краснодарский край,1.9533333333333336
2020-02-29,Сахалинская область,1.9
2020-02-29,Тверская область,2.5
2020-02-29,Курганская область,2.25
2020-02-29,Архангельская область,2.533333333333333
2020-02-29,Смоленская область,2.3000000000000003
2020-02-29,Республика Северная Осетия — Алания,1.9
2020-02-29,Ростовская область,2.2454545454545456
2020-02-29,Чувашская Республика,2.35
2020-02-29,Камчатский край,2.4
2020-02-29,Тамбовская область,2.2
2020-02-29,Новгородская область,2.45
2020-02-29,Саратовская область,2.34
2020-02-29,Республика Алтай,1.9
2020-02-29,Астраханская область,1.9
2020-02-29,Республика Саха (Якутия),2.25
2020-02-29,Ямало-Ненецкий автономный округ,2.2
2020-02-29,Пензенская область,2.3666666666666667
2020-02-29,Кировская область,2.55
2020-02-29,Мурманская область,2.9
2020-02-29,Тульская область,2.4833333333333334
2020-02-29,Республика Татарстан,2.2666666666666666
2020-02-29,Новосибирская область,2.3666666666666667
2020-02-29,Москва,2.170454545454546
2020-02-29,Карачаево-Черкесская Республика,1.8
2020-02-29,Республика Хакасия,2.25
2020-02-29,Республика Марий Эл,2.35
2020-02-29,Волгоградская область,2.25
2020-02-29,Забайкальский край,2.8
2020-02-29,Республика Башкортостан,2.5500000000000003
2020-02-29,Кемеровская область (Кузбасс),2.4
2020-02-29,Магаданская область,2.3
2020-02-29,Пермский край,2.5714285714285716
2020-02-29,Брянская область,2.25
2020-02-29,Свердловская область,2.4583333333333335
2020-02-29,Рязанская область,2.2
2020-02-29,Ульяновская область,2.4
2020-02-29,Санкт-Петербург и Ленинградская область,2.338461538461538
2020-02-29,Тюменская область,2.1
2020-02-29,Республика Карелия,2.6
2020-02-29,Самарская область,2.516666666666667
2020-02-29,Челябинская область,2.5375
2020-03-01,Ивановская область,2.6666666666666665
2020-03-01,Магаданская область,3
2020-03-01,Республика Адыгея,2.5
2020-03-01,Красноярский край,3.0250000000000004
2020-03-01,Волгоградская область,2.575
2020-03-01,Калужская область,2.7
2020-03-01,Ямало-Ненецкий автономный округ,3
2020-03-01,Республика Марий Эл,2.6
2020-03-01,Приморский край,2.76
2020-03-01,Свердловская область,2.9249999999999994
2020-03-01,Псковская область,3.1
2020-03-01,Санкт-Петербург и Ленинградская область,2.8692307692307697
2020-03-01,Курская область,2.7
2020-03-01,Республика Крым,2.9166666666666665
2020-03-01,Челябинская область,2.9875
2020-03-01,Ульяновская область,2.8499999999999996
2020-03-01,Липецкая область,2.6
2020-03-01,Хабаровский край,2.95
2020-03-01,Томская область,3.0999999999999996
2020-03-01,Республика Коми,3.233333333333333
2020-03-01,Чувашская Республика,2.7
2020-03-01,Тверская область,2.9
2020-03-01,Орловская область,2.7
2020-03-01,Краснодарский край,2.4866666666666664
2020-03-01,Смоленская область,2.9
2020-03-01,Курганская область,2.8
2020-03-01,Саратовская область,2.6799999999999997
2020-03-01,Новгородская область,3.05
2020-03-01,Астраханская область,2.6
2020-03-01,Омская область,2.8
2020-03-01,Республика Тыва,2
2020-03-01,Амурская область,2.466666666666667
2020-03-01,Кемеровская область (Кузбасс),2.844444444444444
2020-03-01,Республика Татарстан,2.733333333333333
2020-03-01,Новосибирская область,2.766666666666667
2020-03-01,Карачаево-Черкесская Республика,2.6
2020-03-01,Калининградская область,2.5
2020-03-01,Республика Бурятия,2.7
2020-03-01,Иркутская область,2.9499999999999997
2020-03-01,Алтайский край,2.9
2020-03-01,Удмуртская Республика,2.9749999999999996
2020-03-01,Республика Алтай,2.1
2020-03-01,Москва,2.5999999999999996
2020-03-01,Костромская область,2.7
2020-03-01,Еврейская автономная область,2.7
2020-03-01,Кировская область,2.9000000000000004
2020-03-01,Пензенская область,2.766666666666667
2020-03-01,Республика Башкортостан,2.975000000000001
2020-03-01,Ярославская область,2.9
2020-03-01,Ханты-Мансийский автономный округ - Югра,2.8333333333333335
2020-03-01,Воронежская область,2.7250000000000005
2020-03-01,Чеченская Республика,2.175
2020-03-01,Республика Ингушетия,1.9
2020-03-01,Тульская область,2.8499999999999996
2020-03-01,Мурманская область,3.4
2020-03-01,Республика Калмыкия,2.5
2020-03-01,Ростовская область,2.6454545454545455
2020-03-01,Камчатский край,3.1
2020-03-01,Тамбовская область,2.7
2020-03-01,Архангельская область,2.9333333333333336
2020-03-01,Оренбургская область,2.9250000000000003
2020-03-01,Сахалинская область,2.5
2020-03-01,Рязанская область,2.8
2020-03-01,Ставропольский край,2.6444444444444444
2020-03-01,Республика Северная Осетия — Алания,2.8
2020-03-01,Пермский край,2.9857142857142853
2020-03-01,Республика Дагестан,2.3666666666666667
2020-03-01,Белгородская область,2.6
2020-03-01,Республика Мордовия,2.6
2020-03-01,Владимирская область,2.7600000000000002
2020-03-01,Кабардино-Балкарская Республика,2.7
2020-03-01,Самарская область,2.8333333333333335
2020-03-01,Республика Карелия,3
2020-03-01,Тюменская область,2.766666666666667
2020-03-01,Вологодская область,2.8499999999999996
2020-03-01,Республика Хакасия,2.85
2020-03-01,Нижегородская область,2.6375
2020-03-01,Забайкальский край,3.15
2020-03-01,Республика Саха (Якутия),2.85
2020-03-01,Брянская область,2.6500000000000004
2020-03-02,Красноярский край,1.3499999999999999
2020-03-02,Калужская область,0.75
2020-03-02,Приморский край,1
2020-03-02,Ивановская область,1.0666666666666667
2020-03-02,Республика Адыгея,0.5
2020-03-02,Еврейская автономная область,0.9
2020-03-02,Москва,1.1704545454545456
2020-03-02,Республика Марий Эл,1.05
2020-03-02,Волгоградская область,1.0250000000000001
2020-03-02,Карачаево-Черкесская Республика,0.8
2020-03-02,Магаданская область,0.6
2020-03-02,Республика Башкортостан,1.2916666666666667
2020-03-02,Республика Крым,1.5333333333333332
2020-03-02,Свердловская область,1.2333333333333334
2020-03-02,Ульяновская область,1.1
2020-03-02,Курская область,1.25
2020-03-02,Челябинская область,1.2750000000000001
2020-03-02,Псковская область,0.9
2020-03-02,Чувашская Республика,1.05
2020-03-02,Смоленская область,1.0999999999999999
2020-03-02,Курганская область,0.9
2020-03-02,Тверская область,1.2000000000000002
2020-03-02,Орловская область,0.9
2020-03-02,Краснодарский край,0.9533333333333334
